Model,Fuel Type,Mileage,Owner,Location,Price
Tata Indigo Ecs (2010),PETROL,65000.0 KM,2nd,"Shastri Nagar, Delhi","₹ 1,10,000"
Maruti Suzuki Swift Dzire (2018),DIESEL,32000.0 KM,1st,"SR Nagar Colony, Tiruchirappalli","₹ 7,90,000"
Maruti Suzuki Ertiga (2018),DIESEL,48000.0 KM,1st,"Noida Extension, Noida","₹ 7,35,000"
Hyundai I10 (2013),PETROL,68000.0 KM,2nd,"Rohini, Delhi","₹ 2,25,000"
Tata Nano (2015),PETROL,22000.0 KM,1st,"Sikar Industrial Area, Sikar","₹ 1,10,000"
Maruti Suzuki Alto K10 (2018),PETROL,8697 KM,First,"Kodigehalli, Bengaluru","₹ 3,20,000"
Maruti Suzuki Swift Dzire (2014),DIESEL,85080.0 KM,1st,"Bowenpally, Hyderabad","₹ 5,20,000"
Mahindra Tuv 300 (2016),DIESEL,51000.0 KM,1st,"Borivali West, Mumbai","₹ 6,65,000"
Maruti Suzuki Celerio (2017),PETROL,41000.0 KM,1st,"Rohini Sector 4, Delhi","₹ 4,25,000"
Maruti Suzuki Alto 800 (2015),PETROL,46000.0 KM,2nd,"Sikar Industrial Area, Sikar","₹ 2,65,000"
Tata Sumo Victa (2012),DIESEL,"127,418 KM",2nd,"Kadirvedu Rajaji Nagar, Chennai","₹ 2,00,000"
Ford Ecosport (2017),DIESEL,57000.0 KM,1st,"Adajan, Surat","₹ 7,30,000"
Mahindra Xuv500 (2017),DIESEL,22000.0 KM,1st,"Borivali West, Mumbai","₹ 13,40,000"
Hyundai Eon (2017),PETROL,0 KM,1st,"Ahmedpur Kalan, Bhopal","₹ 2,90,000"
Volkswagen Vento (2011),PETROL,67000.0 KM,1st,"Sushant Lok, Gurgaon","₹ 2,55,000"
Toyota Fortuner (2015),DIESEL,128000.0 KM,1st,"Kirti Nagar, Delhi","₹ 16,50,000"
Skoda Rapid (2016),DIESEL,62000.0 KM,2nd,"Sikar Industrial Area, Sikar","₹ 6,50,000"
Hyundai I10 (2010),PETROL,76000.0 KM,1st,"Sushant Lok, Gurgaon","₹ 1,80,000"
Skoda Rapid (2014),PETROL,68000.0 KM,1st,"Sushant Lok, Gurgaon","₹ 3,95,000"
Tata Tiago (2018),PETROL,36130.0 KM,1st,"Palarivattom, Kochi","₹ 5,30,000"
Maruti Suzuki A-Star (2010),PETROL,44250.0 KM,1st,"Palagachha, Chakdah","₹ 1,35,000"
Maruti Suzuki Wagon R 1.0 (2016),PETROL,68000.0 KM,3rd,"Civil Lines South, Muzaffarnagar","₹ 3,00,000"
Hyundai Santro Xing (2006),PETROL,69836.0 KM,2nd,"Nagole, Hyderabad","₹ 1,55,000"
Mahindra Xuv500 (2015),DIESEL,55000.0 KM,1st,"Borivali West, Mumbai","₹ 10,35,000"
Mahindra Xuv500 (2016),DIESEL,47000.0 KM,1st,"Borivali West, Mumbai","₹ 9,75,000"
Hyundai Elite I20 (2018),PETROL,19000.0 KM,1st,"Adabari, Guwahati","₹ 6,10,000"
Mercedes-Benz E-Class (2009),PETROL,65000.0 KM,3rd,"Ashok Vihar, Delhi","₹ 9,50,000"
Maruti Suzuki Alto 800 (2016),PETROL,62000.0 KM,2nd,"Lohia Nagar, Ghaziabad","₹ 2,25,000"
Maruti Suzuki Alto 800 (2013),PETROL,55640.0 KM,1st,"Uppal, Hyderabad","₹ 2,35,000"
Volkswagen Vento (2012),DIESEL,55000.0 KM,1st,"Karol Bagh, Delhi","₹ 3,40,000"
Tata Nano (2013),PETROL,46000.0 KM,1st,"Kodambakkam Trustpuram, Chennai","₹ 1,14,999"
Mahindra Bolero (2012),DIESEL,185000.0 KM,1st,"Ashok Nagar Near Chandan Nagar, Pune","₹ 4,25,000"
Ford Fiesta (2010),DIESEL,139000.0 KM,3rd,"Ashok Nagar Near Chandan Nagar, Pune","₹ 2,00,000"
Toyota Innova (2012),DIESEL,114000.0 KM,3rd,"Kharadi, Pune","₹ 5,30,000"
Tata Safari Storme (2012),DIESEL,80000.0 KM,1st,"Darshan Vihar, Delhi","₹ 4,00,000"
Honda Civic (2010),PETROL,60000.0 KM,1st,"Jaripatka, Nagpur","₹ 2,95,000"
Maruti Suzuki Ertiga (2017),DIESEL,103000.0 KM,1st,"Kharadi, Pune","₹ 6,60,000"
Chevrolet Beat (2015),DIESEL,45000.0 KM,1st,"Majura Gate, Surat","₹ 1,95,000"
Toyota Innova (2014),DIESEL,72000.0 KM,2nd,"Karol Bagh, Delhi","₹ 8,22,000"
Bmw X1 (2018),DIESEL,52000.0 KM,1st,"Vasant Kunj, Delhi","₹ 27,75,000"
Mahindra Xuv500 (2014),DIESEL,60000.0 KM,2nd,"Rajouri Garden, Delhi","₹ 5,50,000"
Chevrolet Sail (2013),DIESEL,79000.0 KM,1st,"Vikaspuri, Delhi","₹ 1,75,000"
Hyundai I10 (2015),CNG & HYBRIDS,76000.0 KM,1st,"Shahdara, Delhi","₹ 3,35,000"
Maruti Suzuki Alto 800 (2015),PETROL,20000.0 KM,1st,"Badarpur, Delhi","₹ 2,65,000"
Ford Ecosport (2015),DIESEL,63000.0 KM,1st,"Jhilmil Colony, Delhi","₹ 5,60,000"
Land Rover Range Rover Evoque (2017),DIESEL,29500.0 KM,1st,"South Extension, Delhi","₹ 37,50,000"
Volkswagen Polo (2010),PETROL,57000.0 KM,1st,"Rajouri Garden, Delhi","₹ 2,40,000"
Honda City (2011),PETROL,"52,000 KM",1st,"Ramesh Nagar, Delhi","₹ 3,05,000"
Maruti Suzuki Celerio (2017),PETROL,41000.0 KM,1st,"Rohini Sector 4, Delhi","₹ 4,25,000"
Renault Duster (2012),DIESEL,65000.0 KM,2nd,"Karol Bagh, Delhi","₹ 3,25,000"
Volkswagen Vento (2012),DIESEL,55000.0 KM,1st,"Karol Bagh, Delhi","₹ 3,40,000"
Ford Ecosport (2014),DIESEL,54000.0 KM,1st,"Preet Vihar, Delhi","₹ 5,50,000"
Tata Safari (2012),DIESEL,75000.0 KM,1st,"Sarita Vihar, Delhi","₹ 1,99,000"
Mahindra Xuv500 (2012),DIESEL,65000.0 KM,2nd,"Preet Vihar, Delhi","₹ 5,00,000"
Tata Safari Storme (2013),DIESEL,65000.0 KM,1st,"Azadpur, Delhi","₹ 5,55,000"
Land Rover Range Rover Evoque (2017),DIESEL,22000.0 KM,1st,"Kirti Nagar, Delhi","₹ 46,90,000"
Hyundai Santro Xing (2014),PETROL,39000.0 KM,1st,"Rohini Sector 2, Delhi","₹ 2,75,000"
Toyota Etios Liva (2015),PETROL,57585.0 KM,1st,"Badarpur, Delhi","₹ 3,65,000"
Audi A4 (2013),DIESEL,94000.0 KM,2nd,"Lodhi Road, Delhi","₹ 8,99,000"
Hyundai I20 (2013),DIESEL,74000.0 KM,1st,"Laxmi Nagar, Delhi","₹ 2,97,000"
Hyundai I20 (2013),PETROL,57112.0 KM,1st,"Prashant Vihar, Delhi","₹ 3,70,000"
Nissan Sunny (2013),DIESEL,62000.0 KM,1st,"Karol Bagh, Delhi","₹ 2,99,000"
Ford Endeavour (2011),DIESEL,110000.0 KM,4th,"RK Puram, Delhi","₹ 5,50,000"
Ford Mustang (2017),PETROL,16000.0 KM,2nd,"Green Park, Delhi","₹ 70,50,000"
Skoda Rapid (2015),PETROL,51000.0 KM,1st,"Rajouri Garden, Delhi","₹ 5,20,000"
Maruti Suzuki Ertiga (2018),CNG & HYBRIDS,60000.0 KM,1st,"Karkar Duma, Delhi","₹ 8,20,000"
Honda Jazz (2017),PETROL,44000.0 KM,1st,"Badarpur, Delhi","₹ 6,35,000"
Maruti Suzuki Swift (2013),DIESEL,60000.0 KM,1st,"Jhandewalan, Delhi","₹ 3,49,000"
Ford Ecosport (2019),PETROL,5000.0 KM,1st,"Rajouri Garden, Delhi","₹ 9,90,000"
Volkswagen Vento (2015),DIESEL,47000.0 KM,2nd,"Kirti Nagar, Delhi","₹ 5,00,000"
Toyota Innova Crysta (2018),DIESEL,55000.0 KM,1st,"South Extension, Delhi","₹ 18,15,000"
Hyundai I10 (2013),PETROL,68000.0 KM,2nd,"Rohini, Delhi","₹ 2,25,000"
Toyota Fortuner (2015),DIESEL,128000.0 KM,1st,"Kirti Nagar, Delhi","₹ 16,50,000"
Maruti Suzuki Ignis (2018),PETROL,48000.0 KM,1st,"Subhash Nagar, Delhi","₹ 4,70,000"
Maruti Suzuki Wagon R (2015),CNG & HYBRIDS,72452.0 KM,1st,"Badarpur, Delhi","₹ 2,90,000"
Mahindra Bolero (2013),DIESEL,65000.0 KM,1st,"Lalita Park, Delhi","₹ 4,50,000"
Nissan Terrano (2015),DIESEL,89000.0 KM,1st,"Pitampura, Delhi","₹ 5,50,000"
Volkswagen Polo (2015),DIESEL,59251.0 KM,--,"Dwarka, Delhi","₹ 3,94,000"
Toyota Yaris (2018),PETROL,21633.0 KM,--,"Pitampura, Delhi","₹ 8,72,000"
Maruti Suzuki Ertiga (2020),PETROL,5000.0 KM,1st,"Rohini, Delhi","₹ 8,35,000"
Honda City (2009),PETROL,52655.0 KM,1st,"Jhandewalan, Delhi","₹ 2,35,000"
Renault Duster (2016),DIESEL,57000.0 KM,1st,"Kirti Nagar, Delhi","₹ 6,15,000"
Renault Duster (2015),DIESEL,50000.0 KM,1st,"Pitampura, Delhi","₹ 5,90,000"
Toyota Corolla Altis (2015),DIESEL,28000.0 KM,1st,"South Extension, Delhi","₹ 11,25,000"
Maruti Suzuki Ertiga (2014),DIESEL,55588.0 KM,1st,"Jhandewalan, Delhi","₹ 5,00,000"
Ford Ecosport (2018),PETROL,26000.0 KM,1st,"Karkar Duma, Delhi","₹ 8,20,000"
Hyundai Grand I10 (2015),PETROL,26000.0 KM,1st,"Rohini Sector 2, Delhi","₹ 4,00,000"
Maruti Suzuki Swift Dzire (2016),CNG & HYBRIDS,65000.0 KM,1st,"Rohini, Delhi","₹ 4,25,000"
Bmw X5 (2017),DIESEL,51000.0 KM,1st,"Lajpat Nagar 2, Delhi","₹ 44,90,000"
Volkswagen Polo (2017),PETROL,29000.0 KM,1st,"Rajouri Garden, Delhi","₹ 4,90,000"
Ford Endeavour (2017),DIESEL,60000.0 KM,1st,"Paschim Vihar, Delhi","₹ 24,99,999"
Bmw 5 Series (2018),DIESEL,39000.0 KM,1st,"Ashok Vihar, Delhi","₹ 42,00,000"
Maruti Suzuki Swift Dzire (2016),PETROL,8400.0 KM,1st,"Geeta Colony, Delhi","₹ 4,99,000"
Honda Wr-V (2018),DIESEL,58000.0 KM,1st,"Dilshad Garden, Delhi","₹ 8,25,000"
Bmw 5 Series (2013),DIESEL,52999.0 KM,1st,"ITO, Delhi","₹ 14,75,099"
Honda City (2018),PETROL,74000.0 KM,1st,"Karkar Duma, Delhi","₹ 8,75,000"
Maruti Suzuki Swift Dzire (2018),DIESEL,36585.0 KM,1st,"Badarpur, Delhi","₹ 6,45,000"
